Input Price,Sentiment,Output Price
30.0625,0.00375,30.4375
30.4375,-0.02625,27.8125
27.8125,-0.026875,25.125
25.125,0.033125,28.4375
28.4375,-0.04125,24.3125
24.3125,-0.02375,21.9375
21.9375,0.031875,25.125
25.125,0.02625,27.75
27.75,0.030625,30.8125
30.8125,-0.008125,30
30,-0.004375,29.5625
29.5625,0.023125,31.875
31.875,0.05,36.875
36.875,-0.0125,35.625
35.625,-0.0275,32.875
32.875,0.0375,36.625
36.625,0.0075,37.375
37.375,0.02375,39.75
39.75,-0.021875,37.5625
37.5625,-0.01,36.5625
36.5625,0.00375,36.9375
36.9375,-0.030625,33.875
33.875,-0.02625,31.25
31.25,-0.011875,30.0625
30.0625,-0.0225,27.8125
27.8125,0.01125,28.9375
28.9375,0.005625,29.5
29.5,-0.016875,27.8125
27.8125,-0.00375,27.4375
27.4375,-0.01625,25.8125
25.8125,-0.015625,24.25
24.25,0.009375,25.1875
25.1875,0.0375,28.9375
28.9375,-0.009375,28
28,-0.029688,25.0312
25.0312,0.019063,26.9375
26.9375,-0.0225,24.6875
24.6875,-0.000625,24.625
24.625,0.019375,26.5625
26.5625,-0.011875,25.375
25.375,-0.0175,23.625
23.625,-0.0225,21.375
21.375,0.020625,23.4375
23.4375,0.01875,25.3125
25.3125,0.005625,25.875
25.875,-0.02125,23.75
23.75,-0.010625,22.6875
22.6875,0.001875,22.875
22.875,-0.03,19.875
19.875,-0.01625,18.25
18.25,-0.015625,16.6875
16.6875,-0.015,15.1875
15.1875,0.00375,15.5625
15.5625,0.01375,16.9375
16.9375,-0.000625,16.875
16.875,0.005,17.375
17.375,-0.018125,15.5625
15.5625,-0.016875,13.875
13.875,0.036875,17.5625
17.5625,-0.020625,15.5
15.5,-0.009375,14.5625
14.5625,0.00375,14.9375
14.9375,0.014375,16.375
16.375,0.00125,16.5
16.5,0.005,17
17,0.006875,17.6875
17.6875,0.00375,18.0625
18.0625,0.003125,18.375
