Date,Open,High,Low,Close,Adj Close,Volume
2018-05-31,37.779999,37.810001,37.180000,37.720001,37.720001,10710700
2018-06-01,38.060001,38.849998,37.910000,38.340000,38.340000,7804400
2018-06-04,38.470001,39.130001,38.389999,39.070000,39.070000,7950500
2018-06-05,39.230000,40.470001,39.220001,40.040001,40.040001,11216100
2018-06-06,40.070000,40.110001,39.299999,39.950001,39.950001,6986700
2018-06-07,40.060001,40.860001,39.840000,40.450001,40.450001,11570700
2018-06-08,40.259998,40.410000,39.910000,40.290001,40.290001,6067000
2018-06-11,40.270000,40.759998,40.080002,40.490002,40.490002,5208900
2018-06-12,40.630001,40.750000,40.299999,40.450001,40.450001,8575100
2018-06-13,40.250000,40.270000,38.869999,39.330002,39.330002,14044000
2018-06-14,39.520000,39.669998,38.950001,39.000000,39.000000,9353400
2018-06-15,38.919998,39.009998,38.430000,38.889999,38.889999,12891600
2018-06-18,38.500000,39.029999,38.340000,38.860001,38.860001,10077500
2018-06-19,38.320000,39.299999,38.279999,39.180000,39.180000,7190200
2018-06-20,39.480000,39.540001,38.959999,39.259998,39.259998,5750500
2018-06-21,39.220001,39.590000,37.860001,38.009998,38.009998,11587300
2018-06-22,38.070000,38.270000,37.650002,38.090000,38.090000,11808400
2018-06-25,37.720001,37.750000,36.779999,37.110001,37.110001,13382600
2018-06-26,37.130001,37.369999,36.779999,37.070000,37.070000,12451300
2018-06-27,37.020000,37.299999,36.290001,36.299999,36.299999,9898300
2018-06-28,36.180000,36.369999,35.560001,36.139999,36.139999,11381100
2018-06-29,36.279999,36.540001,36.130001,36.259998,36.259998,6335800
2018-07-02,35.910000,36.680000,35.669998,36.669998,36.669998,6144200
2018-07-03,36.889999,37.209999,36.610001,36.639999,36.639999,3704000
2018-07-05,36.799999,37.099998,36.500000,37.029999,37.029999,4653800
2018-07-06,37.200001,37.540001,36.750000,37.389999,37.389999,4188500
2018-07-09,37.540001,37.930000,37.450001,37.910000,37.910000,4660700
2018-07-10,37.080002,37.500000,36.990002,37.040001,37.040001,11250700
2018-07-11,36.930000,37.430000,36.779999,36.980000,36.980000,8442000
2018-07-12,37.459999,37.779999,37.200001,37.549999,37.549999,9711500
2018-07-13,37.549999,37.669998,37.130001,37.610001,37.610001,7785700
2018-07-16,37.660000,38.060001,37.490002,37.730000,37.730000,11576800
2018-07-17,37.430000,38.150002,37.320000,37.810001,37.810001,9931200
2018-07-18,37.779999,38.340000,37.619999,37.950001,37.950001,15840300
2018-07-19,35.169998,35.650002,33.930000,34.110001,34.110001,50978000
2018-07-20,34.419998,34.910000,34.119999,34.200001,34.200001,20035000
2018-07-23,34.060001,34.150002,33.490002,33.790001,33.790001,15380500
2018-07-24,34.020000,34.060001,33.439999,33.520000,33.520000,10916700
2018-07-25,33.419998,34.040001,33.389999,33.889999,33.889999,12141500
2018-07-26,33.810001,34.639999,33.759998,34.430000,34.430000,9728300
2018-07-27,34.630001,34.840000,33.759998,33.810001,33.810001,10161300
2018-07-30,33.720001,33.959999,33.410000,33.669998,33.669998,10093700
2018-07-31,33.770000,33.959999,33.330002,33.450001,33.450001,9976100
2018-08-01,33.349998,33.450001,32.849998,33.090000,33.090000,8981800
2018-08-02,33.000000,33.400002,32.860001,33.220001,33.220001,7235700
2018-08-03,33.369999,33.720001,33.169998,33.660000,33.660000,7154100
2018-08-06,33.660000,34.189999,33.570000,33.990002,33.990002,8119000
2018-08-07,34.110001,34.209999,33.720001,33.779999,33.779999,5722300
2018-08-08,33.779999,33.950001,33.630001,33.840000,33.840000,5504300
2018-08-09,33.860001,34.209999,33.759998,34.150002,34.150002,8088200
